date,UNRATE
Jan-80,6.1470323
Feb-80,5.9988362
Mar-80,5.9369014
Apr-80,6.1154788
May-80,6.2465864
Jun-80,6.3227894
Jul-80,6.078796
Aug-80,6.1776012
Sep-80,6.1421785
Oct-80,6.0559572
Nov-80,5.8511506
Dec-80,6.0520054
Jan-81,5.9170437
Feb-81,5.6166619
Mar-81,5.7463778
Apr-81,5.5552861
May-81,5.5893314
Jun-81,5.3738155
Jul-81,5.8297924
Aug-81,5.8465839
Sep-81,5.8128901
Oct-81,5.873091
Nov-81,5.9959011
Dec-81,6.0278241
Jan-82,5.9831206
Feb-82,6.3086012
Mar-82,6.3233029
Apr-82,6.3340291
May-82,6.5932723
Jun-82,6.7665448
Jul-82,6.8861186
Aug-82,7.0120541
Sep-82,7.4299846
Oct-82,8.2955764
Nov-82,8.6799557
Dec-82,9.4027254
Jan-83,9.3005472
Feb-83,9.6589444
Mar-83,9.9515416
Apr-83,10.1527836
May-83,10.3234375
Jun-83,10.2025738
Jul-83,10.5013701
Aug-83,10.2197424
Sep-83,10.3380336
Oct-83,10.0083107
Nov-83,9.6545487
Dec-83,9.4578986
Jan-84,9.4986074
Feb-84,9.3858014
Mar-84,9.2085424
Apr-84,9.3713388
May-84,8.9367142
Jun-84,9.095359
Jul-84,8.9024539
Aug-84,8.829233
Sep-84,8.7348184
Oct-84,8.6956044
Nov-84,8.6790701
Dec-84,8.5199421
Jan-85,8.5505724
Feb-85,8.3894741
Mar-85,8.665922
Apr-85,8.4035723
May-85,8.3757295
Jun-85,8.5708979
Jul-85,8.2935832
Aug-85,8.1560271
Sep-85,8.0572959
Oct-85,7.8485747
Nov-85,7.9501
Dec-85,7.7847207
Jan-86,7.8052326
Feb-86,8.0028921
Mar-86,7.9279774
Apr-86,7.9021329
May-86,7.8460694
Jun-86,7.6540721
Jul-86,8.115928
Aug-86,8.2395064
Sep-86,8.3380105
Oct-86,8.30957
Nov-86,8.3184029
Dec-86,8.3630056
Jan-87,8.1863217
Feb-87,8.2107669
Mar-87,8.4363964
Apr-87,8.3017107
May-87,8.2009972
Jun-87,8.0096838
Jul-87,8.0830614
Aug-87,8.1052732
Sep-87,7.7549909
Oct-87,8.0854116
Nov-87,7.9306129
Dec-87,7.7274518
Jan-88,7.6308513
Feb-88,7.416609
Mar-88,7.5053716
Apr-88,7.9144685
May-88,7.4504544
Jun-88,7.5622561
Jul-88,6.7634772
Aug-88,7.0681994
Sep-88,6.9340893
Oct-88,6.817264
Nov-88,6.6122466
Dec-88,6.8318177
Jan-89,6.807146
Feb-89,6.6373975
Mar-89,6.3401635
Apr-89,6.2014288
May-89,6.2790218
Jun-89,6.0130932
Jul-89,6.0496876
Aug-89,5.9437463
Sep-89,6.0307795
Oct-89,5.9235588
Nov-89,5.7862278
Dec-89,5.8473721
Jan-90,6.1122893
Feb-90,6.3912372
Mar-90,6.1847824
Apr-90,6.2805152
May-90,6.503617
Jun-90,6.6100271
Jul-90,7.0845921
Aug-90,7.2111614
Sep-90,7.3740375
Oct-90,7.6364485
Nov-90,7.9453721
Dec-90,8.0182571
Jan-91,8.3961828
Feb-91,8.6162486
Mar-91,9.1821127
Apr-91,9.8629492
May-91,9.5013795
Jun-91,9.5292116
Jul-91,9.6917057
Aug-91,9.7892392
Sep-91,10.0323592
Oct-91,9.9863349
Nov-91,10.1971995
Dec-91,10.4725532
Jan-92,10.3461231
Feb-92,10.4043655
Mar-92,10.4957004
Apr-92,10.4725376
May-92,10.6176199
Jun-92,10.8128926
Jul-92,11.1224583
Aug-92,10.7216618
Sep-92,10.6162942
Oct-92,11.0902628
Nov-92,11.1355057
Dec-92,11.2161803
Jan-93,10.8332829
Feb-93,11.0138112
Mar-93,10.8568929
Apr-93,10.7672273
May-93,10.785161
Jun-93,10.9947926
Jul-93,10.9326318
Aug-93,10.9821205
Sep-93,10.7411211
Oct-93,10.9564202
Nov-93,10.9481497
Dec-93,10.7552312
Jan-94,10.5683723
Feb-94,10.3983251
Mar-94,10.3524293
Apr-94,10.0625992
May-94,9.7657409
Jun-94,9.8211898
Jul-94,9.6257402
Aug-94,9.4436231
Sep-94,9.3526208
Oct-94,9.0917088
Nov-94,9.1420579
Dec-94,8.9342847
Jan-95,8.8568243
Feb-95,8.8227036
Mar-95,8.6159612
Apr-95,8.2668161
May-95,8.4736855
Jun-95,8.3538718
Jul-95,8.4232075
Aug-95,8.3188576
Sep-95,8.3613093
Oct-95,8.5741643
Nov-95,8.4510187
Dec-95,8.1431865
Jan-96,8.4541229
Feb-96,8.326021
Mar-96,8.4201068
